Passport number;Name;Surname;Country;Boarding pass ID;Boarded
 PR324500 ; Aleks; Mederski;Belarus;EX86981;False
 AD204893 ; Ku; Mur;China;EX89014;False
 DP299211 ; Kin; Sin;South Korea;EX91047;False
 XPL93484 ; Caton; Orevue;France;EX93080;False
 AD204894; Piotr; Kotowski;Poland;EX95113;False
 KD493920 ; Nikolay; Tarnowski;Belarus;EX84948;Already boarded
 KE895398 ; Petr; Vasylev;Russia;EX82915;Already boarded
 UE356832 ; Emiliano; del Pozo;Spain;EX80882;Already boarded
 WO483624 ; Jose; de Pola;Spain;EX78849;Already boarded
 FC389393 ; Caton; de Cavi;Spain;EX76816;Already boarded
 IJ444932 ; Olivier; Twen;France;EX74783;Already boarded
 23DOE333 ; Taras; Petrenko;Ukraine;EX70717;Already boarded
 30493MMF ; Lucius; Malfoy;Great Britain;EX68684;Already boarded
 DF444002 ; Yaryna; Sych;Ukraine;EX64618;Already boarded
 AA302MF3 ; Harry; Coldman;Great Britain;EX66651;Already boarded
 CL394849 ; Tadeusz; Razmus;Ukraine;EX62585;Already boarded
 VKR49394 ; Ivan; Malychev;Russia;EX60552;Already boarded
 OJ844840 ; Jaroslaw; Kwiatkowki;Poland;EX58519;Already boarded
 ZE3O3922 ; Olga; Larek;Poland;EX56486;Already boarded
 DL220395 ; Szymon; Kwiek;Poland;EX54453;Already boarded
 GH454747 ; Jan; Bieler;Germany;EX34123;Already boarded
 GH565755 ; Mia; Krause;Germany;EX36156;Already boarded
 UJ746235 ; Emma; Remus;Great Britain;EX38189;Already boarded
 KF84U3P2 ; Marie; Cooper; USA;EX40222;Already boarded
 KC489920 ; Lena; Red;Great Britain;EX42255;Already boarded
 KD894492 ; Felix; Montgomery;USA;EX44288;Already boarded
 DL482029 ; Max; Simpson;USA;EX46321;Already boarded
 EE372024 ; Julian; Oldenburg;Luxembourg;EX48354;Already boarded
 SS203039 ; Witold; Kujawinski;Poland;EX50387;Already boarded
 RR394203 ; Peter; Oldenburg;Luxembourg;EX72750;Already boarded
 DL394753 ; Wlodzimierz; Michalek;Poland;EX52420;Already boarded
